iter	Passed	Remaining
926	2184	172
927	2186	169
928	2188	167
929	2190	164
930	2193	162
931	2195	160
932	2197	157
933	2199	155
934	2202	153
935	2204	150
936	2206	148
937	2208	145
938	2211	143
939	2213	141
940	2215	138
941	2217	136
942	2220	134
943	2222	131
944	2224	129
945	2226	127
946	2228	124
947	2231	122
948	2233	120
949	2235	117
950	2238	115
951	2240	112
952	2242	110
953	2244	108
954	2247	105
955	2249	103
956	2251	101
957	2253	98
958	2256	96
959	2258	94
960	2260	91
961	2262	89
962	2265	87
963	2267	84
964	2269	82
965	2271	79
966	2274	77
967	2276	75
968	2278	72
969	2280	70
970	2283	68
971	2285	65
972	2287	63
973	2290	61
974	2292	58
975	2294	56
976	2296	54
977	2299	51
978	2301	49
979	2303	47
980	2305	44
981	2308	42
982	2310	39
983	2312	37
984	2314	35
985	2317	32
986	2319	30
987	2321	28
988	2323	25
989	2326	23
990	2328	21
991	2330	18
992	2333	16
993	2337	14
994	2339	11
995	2342	9
996	2345	7
997	2347	4
998	2350	2
999	2352	0
